"contig_name","p_good"
"comp53_c0_seq1",0
"comp233_c0_seq1",0
"comp356_c0_seq1",0
"comp399_c0_seq1",0
"comp443_c0_seq1",0
"comp578_c0_seq1",0
"comp607_c0_seq1",0
"comp999_c0_seq1",0
"comp1080_c0_seq1",0
"comp1179_c0_seq1",0
"comp1210_c1_seq2",0
"comp1225_c0_seq1",0
"comp1233_c0_seq1",0
"comp1283_c0_seq1",0
"comp1395_c0_seq1",0
"comp1407_c0_seq1",0
"comp1463_c0_seq1",0
"comp1471_c0_seq1",0
"comp1518_c0_seq1",0
"comp2518_c1_seq1",0
"comp2520_c0_seq1",0
"comp2567_c0_seq1",0
"comp2578_c2_seq1",0
"comp2616_c1_seq1",0
"comp2651_c1_seq1",0
"comp2671_c0_seq1",0
"comp2858_c0_seq1",0
"comp2958_c0_seq2",0
"comp2976_c1_seq1",0
"comp2998_c0_seq1",0
