tsa.GAAA.mstr.gbff	SRR401852	93507	Trinity v. r2011-07-13	Latimeria chalumnae; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Coelacanthiformes; Coelacanthidae; Latimeria.
tsa.GAAC.mstr.gbff	SRR500475	52919	SOAPdenovo 1.04	Camellia sinensis var. sinensis; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae;Pentapetalae; asterids; Ericales; Theaceae; Camellia.
tsa.GAAD.mstr.gbff	SRR550147,SRR550148,SRR550149	11327	oases v. 0.2.08	Misgurnus anguillicaudatus; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Actinopterygii; Neopterygii; Teleostei; Ostariophysi;Cypriniformes; Cobitidae; Cobitinae; Misgurnus.
tsa.GAAH.mstr.gbff	SRR504484,SRR504486,SRR504488,SRR504490,SRR504492,SRR504494,SRR504496,SRR504498,SRR504500,SRR504502,SRR504504,SRR504506,SRR504508,SRR504512	34959	Bowtie, Tophat, Cufflinks,GATK v 0.12.7, v	Papio hamadryas; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini;Catarrhini; Cercopithecidae; Cercopithecinae; Papio.
tsa.GAAI.mstr.gbff	SRR108991,SRR108994,SRR108996,SRR108998,SRR109000,SRR109002,SRR109004,SRR109006,SRR109008,SRR109010,SRR109012,SRR109014,SRR109016,SRR109018	7822	Bowtie, Tophat, Cufflinks, GATK v 0.12.7,	Ovis aries; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Laurasiatheria; Cetartiodactyla; Ruminantia;Pecora; Bovidae; Caprinae; Ovis.
tsa.GAAK.mstr.gbff	SRR566981,SRR567164,SRR567165,SRR567166,SRR567167,SRR567169,SRR567170,SRR567171,SRR567289	13259	Cufflinks 1.3.0; TopHat 1.4.1; MAKER 2.10;	Belgica antarctica; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Diptera; Nematocera;Chironomoidea; Chironomidae; Belgica.
tsa.GAAW.mstr.gbff	SRR575189,SRR575191,SRR575193,SRR575195,SRR575197,SRR575199,SRR575201,SRR575203,SRR575205,SRR575207,SRR575209	174938	Trinity 2012-05-18; cd-Hit 4.5	Humulus lupulus; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons;rosids; fabids; Rosales; Cannabaceae; Humulus.
tsa.GABB.mstr.gbff	SRR578730	35270	Newbler 2.6	Archaeopsylla erinacei; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Siphonaptera; Pulicidae;Archaeopsyllinae; Archaeopsylla.
tsa.GABC.mstr.gbff	SRR544868	29054	Velvet 1.2.07; Oases 0.2.08	Pan troglodytes; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini;Catarrhini; Hominidae; Pan.
tsa.GABD.mstr.gbff	SRR544870	29686	Velvet 1.2.07; Oases 0.2.08	Pan troglodytes; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini;Catarrhini; Hominidae; Pan.
tsa.GABE.mstr.gbff	SRR544874	30945	Velvet 1.2.07; Oases 0.2.08	Pan troglodytes; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini;Catarrhini; Hominidae; Pan.
tsa.GABF.mstr.gbff	SRR545055	29310	Velvet 1.2.07; Oases 0.2.08	Pan troglodytes; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini;Catarrhini; Hominidae; Pan.
tsa.GABG.mstr.gbff	SRR576640,SRR576641,SRR576642,SRR576643,SRR576644,SRR576645	61933	TGICL 2.0; SOCAT 1.0	Ipomoea purpurea; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons;asterids; lamiids; Solanales; Convolvulaceae; Ipomoeeae; Ipomoea.
tsa.GABH.mstr.gbff	SRR516083	38183	Velvet v.1.1.05; Oases v.0.1.2	Musa ABB Group; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; Liliopsida; Zingiberales; Musaceae;Musa.; 
tsa.GABJ.mstr.gbff	SRR575666	45305	Soapdenovo 1.04	Caragana korshinskii; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons;rosids; fabids; Fabales; Fabaceae; Papilionoideae; Hedysareae;Caragana.; 
tsa.GABK.mstr.gbff	SRR596160	14200	Newbler 2.6	Sialis lutaria; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Megaloptera; Sialidae; Sialis.
